,abs_lambda,avg_x,avg_y,cond_var,l_est_x,l_est_y,nl_est_x,nl_est_y,pen_val,sep_dist,sub,tot_var
0,5.01368066737,11.1020408163,5.59183673469,82.7936390533,0.0,1.0,0.0,1.0,0,32,403,179.589086265
1,5.01368066737,10.1590909091,7.70454545455,164.811983471,23.0,0.0,11.0,-1.0,1,32,403,179.589086265
2,5.01368066737,11.9259259259,8.09259259259,183.241426612,22.0,1.0,13.0,-1.0,3,32,403,179.589086265
3,5.01368066737,15.8723404255,5.10638297872,151.308159722,31.0,-3.0,23.0,0.0,5,32,403,179.589086265
4,5.01368066737,11.8301886792,7.09433962264,156.175295858,33.0,-3.0,23.0,2.0,15,32,403,179.589086265
5,5.01368066737,4.60784313725,5.33333333333,208.400147929,-2.0,0.0,0.0,-1.0,0,44,403,179.589086265
6,5.01368066737,5.2641509434,6.43396226415,163.1904,13.0,1.0,7.0,-1.0,1,44,403,179.589086265
7,5.01368066737,5.65306122449,3.75510204082,158.1392,15.0,1.0,7.0,0.0,3,44,403,179.589086265
8,5.01368066737,10.0,6.25,149.02268431,21.0,-5.0,14.0,0.0,5,44,403,179.589086265
9,5.01368066737,11.0943396226,5.43396226415,204.117969822,21.0,-3.0,14.0,0.0,15,44,403,179.589086265
10,1.7609585524,11.0576923077,2.32692307692,74.0924556213,1.25,1.5,0.0,-0.25,0,32,404,59.2580958237
11,1.7609585524,14.3404255319,0.957446808511,50.2233727811,16.0,2.0,15.0,0.0,1,32,404,59.2580958237
12,1.7609585524,10.7142857143,0.918367346939,97.7326388889,17.0,-2.0,16.0,-2.0,3,32,404,59.2580958237
13,1.7609585524,10.0980392157,3.47058823529,76.7808,19.0,1.0,19.0,0.0,5,32,404,59.2580958237
14,1.7609585524,11.8541666667,-1.3125,107.897920605,19.0,1.0,18.0,-2.0,15,32,404,59.2580958237
15,1.7609585524,6.5,1.62,101.99704142,0.0,-0.333333333333,-0.5,0.5,0,44,404,59.2580958237
16,1.7609585524,7.84444444444,0.244444444444,79.3143491124,10.0,-2.0,9.0,-2.0,1,44,404,59.2580958237
17,1.7609585524,7.19230769231,2.75,100.673076923,9.0,2.0,9.0,0.0,3,44,404,59.2580958237
18,1.7609585524,7.35849056604,1.45283018868,91.632,12.0,1.0,11.0,5.0,5,44,404,59.2580958237
19,1.7609585524,7.91489361702,0.574468085106,113.56899811,11.0,-1.0,10.0,1.0,15,44,404,59.2580958237
20,1.29009337443,8.72549019608,2.11764705882,85.0624,2.0,1.0,-2.0,0.0,0,32,405,91.9782321019
21,1.29009337443,14.3958333333,-1.5625,90.8827977316,15.0,1.0,15.0,-2.0,1,32,405,91.9782321019
