,"32,0","32,1","32,15","32,3","32,5","44,0","44,1","44,15","44,3","44,5",subNum,Group
0,267.8786982,216.6927298,153.6841716,224.4733728,167.7317708,145.2743484,195.3971463,201.3264746,202.072,273.0789931,302,2
0,85.75701531,84.99388889,60.49936224,74.30548469,83.88585018,77.03826531,56.93278464,107.0451843,68.40816327,102.976,303,1
0,87.59444444,133.254459,137.1494444,102.9138889,179.6858711,120.450654,102.4455556,104.5862069,118.1361111,110.469679,304,2
0,101.86,93.86011342,77.74652778,76.86980609,87.67485822,106.1531191,74.85487528,101.6241427,48.67120181,86.08057851,305,1
0,237.7504,151.5303254,210.6282579,190.4656,246.4706994,155.7889273,209.2638889,200.92,158.76,280.6257089,306,1
0,139.6013314,188.1042524,102.7174556,183.255648,111.0452806,173.7825255,149.1450654,74.59388889,164.5905612,148.6790123,307,2
0,139.9090237,138.7334594,179.3684211,153.4512472,113.1523546,178.9723183,210.8961938,151.3321799,165.6124764,106.3765432,308,1
0,122.3771626,103.9533608,95.14266118,73.12960761,91.04994055,105.6848073,86.4432398,91.94649227,59.36147444,104.6932398,309,2
0,106.4694444,127.7895363,91.44642857,67.76555556,104.6960059,101.8916667,104.5066568,85.95833333,114.2894444,98.52888889,310,2
0,90.84722222,138.5328,84.01996528,126.010355,75.5744,114.6157025,142.5096154,103.7699653,115.3131378,95.64083176,311,1
0,121.28375,102.7993827,88.66213152,101.2690972,103.007716,74.9152,77.51473923,149.7013889,156.0775047,180.05375,312,2
0,71.99092971,125.875,146.9968,127.2256,155.8727811,140.6767486,137.8601134,98.50619835,96.41115702,106.5717456,401,1
0,70.78476331,96.05350773,48.39388889,78.46364883,78.38168847,110.8061831,72.88535503,61.26516052,54.2235434,69.02423469,402,1
0,60.16050296,161.4152893,125.7699704,150.4019204,129.2248264,123.5865385,124.3104,170.861454,91.22829861,126.7920605,403,2
0,67.00961538,50.22337278,105.6899811,90.06597222,70.9952,78.82544379,70.57470414,99.0510397,96.40680473,89.8944,404,1
0,85.0624,90.88279773,73.09288194,98.02497027,69.62003781,74.1792,77.80555556,85.64471879,69.76417234,76.77071006,405,2
0,129.3931947,132.758034,101.6409037,97.59885204,142.7654959,104.5754132,130.3224852,122.9739369,110.4032,168.9905482,406,1
0,45.58944444,66.43209877,72.59438776,39.83801775,60.13443073,45.5136742,41.99489796,45.99888889,75.17479191,46.94888889,407,1
0,158.9222222,110.4673008,122.0384615,97.48148148,197.9961111,159.8156956,112.9595719,134.2227778,173.1438763,137.1161111,409,1
0,70.75029727,77.37888889,82.08055556,86.28055556,66.33888228,84.960761,64.35077289,48.98055556,76.00055556,51.08442331,410,1
0,26.99725652,32.45816187,46.6448,33.85733882,56.7328,49.672,33.26397146,33.64060357,36.44132653,30.85459184,411,2
0,55.85322359,78.2508918,66.60277778,73.40428062,52.60631001,84.00369822,49.8941736,58.31824417,53.69387755,58.97740785,412,2
0,50.66481994,43.485,59.30769231,110.6153846,85.09722222,20.16444444,62.3775,51.82666667,35.5632716,58.25259516,413,1
