,blockNum,penalty,reward,sepDistance,timeLimit,x_position,y_position
0,0,-5,1,32.0,1,0,0
1,0,0,1,44.0,1,100,-100
2,0,-5,1,-44.0,1,100,0
3,0,-1,1,-44.0,1,-100,0
4,0,-15,3,44.0,1,-100,100
5,0,-15,3,-44.0,1,0,100
6,0,-3,3,-32.0,1,100,0
7,0,-3,3,-44.0,1,100,-100
8,0,0,1,32.0,1,0,0
9,0,0,1,-44.0,1,100,0
10,0,-1,1,-32.0,1,100,0
11,0,-5,1,-32.0,1,-100,-100
12,0,-3,3,32.0,1,-100,-100
13,0,-15,3,32.0,1,0,-100
14,0,-1,1,44.0,1,-100,100
15,0,-5,1,44.0,1,100,-100
16,0,-3,3,44.0,1,0,0
17,0,0,1,-32.0,1,0,-100
18,0,-1,1,32.0,1,0,100
19,0,-15,3,-32.0,1,-100,-100
20,0,-1,1,-32.0,1,0,0
21,0,-5,1,44.0,1,-100,100
22,0,-3,3,-32.0,1,0,-100
23,0,0,1,44.0,1,100,100
24,0,-1,1,-44.0,1,0,-100
25,0,-15,3,-44.0,1,100,-100
26,0,0,1,-44.0,1,0,100
27,0,-15,3,32.0,1,100,100
28,0,-1,1,32.0,1,-100,-100
29,0,-5,1,-44.0,1,0,100
30,0,0,1,-32.0,1,-100,100
31,0,-5,1,32.0,1,-100,0
32,0,-15,3,-32.0,1,0,0
33,0,-15,3,44.0,1,100,0
34,0,-5,1,-32.0,1,0,-100
35,0,-3,3,44.0,1,-100,100
36,0,-1,1,44.0,1,100,100
37,0,-3,3,-44.0,1,0,100
38,0,-3,3,32.0,1,-100,0
39,0,0,1,32.0,1,100,-100
40,0,0,1,32.0,1,100,0
41,0,-5,1,32.0,1,100,100
42,0,-15,3,-32.0,1,100,100
43,0,-5,1,-32.0,1,-100,100
44,0,-15,3,-44.0,1,0,0
45,0,-5,1,44.0,1,0,0
46,0,-1,1,44.0,1,100,-100
47,0,0,1,-44.0,1,0,0
48,0,-1,1,32.0,1,100,100
49,0,-3,3,32.0,1,100,100
50,0,-3,3,-32.0,1,-100,100
51,0,-15,3,32.0,1,-100,100
