,blockNum,penalty,reward,sepDistance,timeLimit,x_position,y_position
0,0,-5,1,32.0,1,100,-100
1,0,-5,1,-32.0,1,0,0
2,0,0,1,-44.0,1,0,-100
3,0,0,1,44.0,1,-100,0
4,0,-1,1,-32.0,1,100,-100
5,0,-5,1,-44.0,1,100,100
6,0,0,1,32.0,1,-100,100
7,0,-1,1,44.0,1,0,0
8,0,-1,1,32.0,1,100,0
9,0,0,1,-32.0,1,0,100
10,0,-1,1,-44.0,1,100,100
11,0,-5,1,44.0,1,0,-100
12,0,0,1,-32.0,1,100,100
13,0,0,1,-44.0,1,0,0
14,0,0,1,32.0,1,100,0
15,0,0,1,44.0,1,100,-100
16,0,-5,1,44.0,1,0,100
17,0,-1,1,-44.0,1,0,100
18,0,-5,1,32.0,1,-100,100
19,0,-5,1,-32.0,1,-100,-100
20,0,-1,1,-32.0,1,-100,100
21,0,-1,1,44.0,1,-100,-100
22,0,-1,1,32.0,1,0,-100
23,0,-5,1,-44.0,1,0,100
24,0,0,1,-32.0,1,-100,-100
25,0,0,1,-44.0,1,100,100
26,0,-5,1,32.0,1,100,-100
27,0,-1,1,-44.0,1,-100,0
28,0,0,1,32.0,1,0,0
29,0,-5,1,-32.0,1,-100,0
30,0,-1,1,-32.0,1,0,0
31,0,-5,1,-44.0,1,-100,-100
32,0,-5,1,44.0,1,-100,100
33,0,-1,1,44.0,1,100,0
34,0,0,1,44.0,1,0,-100
35,0,-1,1,32.0,1,0,-100
36,1,0,1,32.0,1,0,100
37,1,-5,1,32.0,1,100,0
38,1,-5,1,-32.0,1,0,-100
39,1,-1,1,-44.0,1,-100,100
40,1,0,1,-44.0,1,-100,0
41,1,-5,1,44.0,1,100,100
42,1,-1,1,32.0,1,-100,0
43,1,0,1,44.0,1,100,0
44,1,-5,1,-44.0,1,0,0
45,1,-1,1,-32.0,1,0,100
46,1,0,1,-32.0,1,-100,100
47,1,-1,1,44.0,1,100,100
48,1,0,1,-44.0,1,-100,-100
49,1,-5,1,-44.0,1,-100,-100
50,1,-1,1,-32.0,1,-100,-100
51,1,-5,1,-32.0,1,-100,100
52,1,0,1,32.0,1,100,-100
53,1,0,1,-32.0,1,-100,-100
54,1,0,1,44.0,1,-100,0
55,1,-5,1,44.0,1,0,0
56,1,-1,1,32.0,1,-100,-100
57,1,-1,1,-44.0,1,0,100
58,1,-5,1,32.0,1,0,100
59,1,-1,1,44.0,1,100,-100
60,1,0,1,32.0,1,100,100
61,1,-1,1,-32.0,1,-100,100
62,1,0,1,-32.0,1,100,0
63,1,-5,1,32.0,1,0,-100
64,1,0,1,44.0,1,0,100
65,1,-1,1,-44.0,1,100,0
66,1,0,1,-44.0,1,100,-100
67,1,-5,1,44.0,1,100,100
68,1,-1,1,32.0,1,-100,0
69,1,-1,1,44.0,1,0,-100
70,1,-5,1,-44.0,1,100,-100
71,1,-5,1,-32.0,1,100,0
72,2,-5,1,44.0,1,-100,0
73,2,-5,1,-44.0,1,0,-100
74,2,0,1,-44.0,1,0,0
75,2,0,1,-32.0,1,-100,100
76,2,-1,1,-44.0,1,0,100
77,2,-1,1,-32.0,1,0,0
78,2,-1,1,32.0,1,-100,100
79,2,-1,1,44.0,1,0,-100
80,2,0,1,44.0,1,0,-100
81,2,-5,1,32.0,1,-100,100
82,2,-5,1,-32.0,1,0,0
83,2,0,1,32.0,1,-100,0
84,2,0,1,44.0,1,-100,-100
85,2,-5,1,32.0,1,100,-100
86,2,-1,1,44.0,1,100,0
87,2,-1,1,32.0,1,-100,0
